Ranking,Quarter,Station,CrossEffScores,Model
25,4,Kakarvitta,0.853791783,4
26,8,Bhadrapur,0.849360982,4
27,4,Nepalgunj,0.847787567,4
28,4,Bhadrapur,0.846505215,4
29,8,Lahan,0.842121617,4
30,6,Lahan,0.835865756,4
31,6,Nepalgunj,0.835323482,4
32,8,Biratnagar,0.830584029,4
33,7,Bhadrapur,0.830567995,4
34,6,Bhadrapur,0.829835974,4
35,4,Lahan,0.829771298,4
36,4,Bhairawa,0.82182706,4
37,1,Biratnagar,0.82019616,4
38,5,Nepalgunj,0.819479744,4
39,3,Biratnagar,0.812916181,4
40,1,Bhadrapur,0.812707735,4
41,5,Bhadrapur,0.811894678,4
42,5,Biratnagar,0.809504906,4
43,2,Biratnagar,0.800973494,4
44,4,Biratnagar,0.795651528,4
45,3,Bhadrapur,0.787294036,4
46,7,Nepalgunj,0.775526913,4
47,6,Biratnagar,0.759767801,4
1,2,Lahan,0.941196759,5
2,2,Kakarvitta,0.932688505,5
3,1,Kakarvitta,0.916684997,5
4,3,Lahan,0.901487476,5
5,7,Kakarvitta,0.899105738,5
6,2,Bhairawa,0.897628034,5
7,3,Kakarvitta,0.894884341,5
8,1,Bhairawa,0.894697322,5
9,1,Nepalgunj,0.892435363,5
10,6,Bhairawa,0.892354121,5
11,5,Kakarvitta,0.887026372,5
12,1,Lahan,0.884320401,5
13,2,Nepalgunj,0.876696977,5
14,8,Kakarvitta,0.874072392,5
15,8,Bhairawa,0.870979296,5
16,7,Bhairawa,0.869768076,5
17,3,Bhairawa,0.866019292,5
18,3,Nepalgunj,0.863697823,5
19,5,Bhairawa,0.862725359,5
20,2,Bhadrapur,0.862143364,5
21,8,Nepalgunj,0.861017862,5
22,4,Kakarvitta,0.859495808,5
23,6,Kakarvitta,0.85918281,5
24,7,Lahan,0.857334774,5
25,4,Nepalgunj,0.856741525,5
26,7,Biratnagar,0.856133616,5
27,6,Lahan,0.854163171,5
28,8,Biratnagar,0.851752677,5
29,8,Bhadrapur,0.848778459,5
30,6,Bhadrapur,0.84743704,5
31,7,Bhadrapur,0.845141861,5
32,4,Bhadrapur,0.844639018,5
33,8,Lahan,0.843816177,5
34,6,Nepalgunj,0.834352831,5
35,4,Lahan,0.827428009,5
36,4,Bhairawa,0.824437849,5
37,5,Nepalgunj,0.822657118,5
38,1,Biratnagar,0.820629496,5
39,5,Biratnagar,0.820113804,5
40,3,Biratnagar,0.813117118,5
41,5,Bhadrapur,0.812233717,5
42,1,Bhadrapur,0.810267245,5
43,2,Biratnagar,0.808062431,5
44,4,Biratnagar,0.805094137,5
45,3,Bhadrapur,0.789389798,5
46,7,Nepalgunj,0.782611979,5
47,6,Biratnagar,0.775091955,5
