Station,Quarter,IRF_forms,IRF_Com,VIF_forms,VIF_Com,IRF_forms_Rec,IRF_Com_Rec,VIF_forms_Rec,VIF_Com_Rec,Actual_VIF,Actual_IRF,Actual_VIFCom,Actual_IRFCom,VIF_Perc_Increase,IRF_Perc_Increase,VIFCom_Perc_Increase,IRFCom_Perc_Increase
Nepalgunj,4,0.9484,0.038738592,5.2024,0.042513684,Under,Under,Under,Under,23,21,0.940711462,0.857142857,0.226191304,0.045161905,0.045193118,0.045195024
Nepalgunj,5,1.7192,0.048060879,0.5646,0.05334497,Under,Under,Under,Under,10,9,0.945454545,0.851851852,0.05646,0.191022222,0.056422564,0.056419293
Nepalgunj,6,5.7127,0.044073717,1.126,0.048108208,Under,Under,Under,Under,22,13,0.94214876,0.863247863,0.051181818,0.439438462,0.051062221,0.051055692
Nepalgunj,7,0.7689,0.073930355,6.3659,0.077764594,Under,Under,Under,Under,2,9,0.909090909,0.864197531,3.18295,0.085433333,0.085541053,0.085547982
Nepalgunj,8,1.6303,0.041219322,0.1441,0.043958698,Under,Under,Under,Under,7,9,0.948051948,0.888888889,0.020585714,0.181144444,0.046367394,0.046371737
Nepalgunj,11,7.6591,0.145605501,0.6262,0.15743166,Under,Under,Under,Under,4,3,0.840909091,0.777777778,0.15655,2.553033333,0.187216028,0.187207073
Nepalgunj,12,3.0235,0.0295005,4.0667,0.028154335,Under,Under,Under,Under,12,7,0.909090909,0.952380952,0.338891667,0.431928571,0.030969769,0.030975525
Mahendranagar,3,3,0.027778,0,0.023601,Under,Under,Over,Under,8,8,0.920454545,0.861111111,0,0.375,0.025640593,0.032258323
Mahendranagar,4,2.6264,0.226227202,0,0.04782843,Under,Under,Over,Under,10,8,0.890909091,0.861111111,0,0.3283,0.053684972,0.26271546
Mahendranagar,5,6.915,0.031975513,0,0.03375494,Under,Under,Over,Under,10,4,0.909090909,0.861111111,0,1.72875,0.037130434,0.037132854
Mahendranagar,6,3,0.041667,0,0.026701,Under,Under,Over,Under,11,8,0.917355372,0.847222222,0,0.375,0.029106495,0.049180721
Mahendranagar,7,6,0.044445,0,0.024864,Under,Under,Over,Under,9,5,0.919191919,0.844444445,0,1.2,0.027049846,0.052632237
Mahendranagar,8,3,0.027778,0,0.024864,Under,Under,Over,Under,9,8,0.919191919,0.861111111,0,0.375,0.027049846,0.032258323
Mahendranagar,10,3.7192,0.029739606,0,0.030967531,Under,Under,Over,Under,6,7,0.909090909,0.873015873,0,0.531314286,0.034064284,0.034065367
